GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_002,ru.job4j.homeworks.tasks,Task1154,27,30,4,4,5,6,3,4,1,2
chapter_002,ru.job4j.homeworks.tasks,Task11110,0,30,0,4,0,5,0,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1156,11,13,1,1,1,4,1,2,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11111,0,24,0,4,0,6,0,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1155,0,47,0,6,0,7,0,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1158,0,25,0,2,0,5,0,3,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1157,0,21,0,2,0,5,0,3,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1159,7,68,1,5,2,10,1,5,0,3
chapter_002,ru.job4j.homeworks.tasks,Task11109,0,30,0,4,0,5,0,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11127,1,41,1,7,0,9,1,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11128,6,51,4,6,2,16,4,3,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11129,5,52,2,8,2,16,2,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11124,0,144,0,16,0,30,0,12,0,4
chapter_002,ru.job4j.homeworks.tasks,Task1160,4,68,2,10,2,15,2,7,0,3
chapter_002,ru.job4j.homeworks.tasks,Task11125,4,56,3,7,0,12,3,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11126,2,40,1,7,0,9,1,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11122,0,37,0,6,0,10,0,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11130,3,31,1,5,2,8,1,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11149,0,39,0,4,0,7,0,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11145,0,148,0,8,0,18,0,8,0,4
chapter_002,ru.job4j.homeworks.tasks,Task11146,0,73,1,3,0,8,1,3,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11147,2,122,3,13,0,28,3,8,0,3
chapter_002,ru.job4j.homeworks.tasks,Task11148,4,69,2,10,1,15,2,6,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11141,3,58,2,6,1,14,2,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11142,0,38,0,4,0,9,0,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11144,70,56,8,2,16,10,6,4,2,3
chapter_002,ru.job4j.homeworks.tasks,Task11140,3,162,2,24,1,35,2,14,0,3
chapter_002,ru.job4j.homeworks.tasks,Task11156,0,136,0,20,0,24,0,15,0,5
chapter_002,ru.job4j.homeworks.tasks,Task11157,0,142,1,27,0,27,1,16,0,3
chapter_002,ru.job4j.homeworks.tasks,Task11158,76,0,12,0,18,0,8,0,2,0
chapter_002,ru.job4j.homeworks.tasks,Task11159,6,49,1,5,2,13,1,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1110,0,74,0,8,0,15,0,7,0,3
chapter_002,ru.job4j.homeworks.tasks,Task11152,0,79,0,12,0,18,0,9,0,3
chapter_002,ru.job4j.homeworks.tasks,Task11153,0,124,0,28,0,22,0,18,0,4
chapter_002,ru.job4j.homeworks.tasks,Task1112,0,74,0,16,0,21,0,11,0,3
chapter_002,ru.job4j.homeworks.tasks,Task11154,0,71,1,11,0,16,1,7,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1111,67,0,10,0,15,0,8,0,3,0
chapter_002,ru.job4j.homeworks.tasks,Task11155,0,144,0,22,0,33,0,15,0,4
chapter_002,ru.job4j.homeworks.tasks,Task1114,94,0,14,0,22,0,15,0,8,0
chapter_002,ru.job4j.homeworks.tasks,Task1113,118,0,14,0,29,0,15,0,8,0
chapter_002,ru.job4j.homeworks.tasks,Task11150,5,29,1,3,0,5,1,3,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11151,0,106,0,16,0,26,0,12,0,4
