GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_002,ru.job4j.chess,Board,30,98,10,10,6,22,9,5,0,4
chapter_002,ru.job4j.chess,Cell,19,24,4,4,8,6,8,2,4,2
chapter_002,ru.job4j.chess.exceptions,FigureNotFoundException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.chess.exceptions,ImpossibleCellException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.chess.exceptions,OccupiedWayException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.chess.exceptions,ImpossibleMoveException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.homeworks.deparsing,DeparsingEasy,3,665,4,54,2,82,4,32,0,7
chapter_002,ru.job4j.homeworks.coffeemachine,CoffeeMachine,1,80,1,7,0,14,1,5,0,2
chapter_002,ru.job4j.tracker2.models,TaskSecond,21,0,0,0,9,0,2,0,2,0
chapter_002,ru.job4j.tracker2.models,BugSecond,3,0,0,0,1,0,1,0,1,0
chapter_002,ru.job4j.tracker2.models,ItemSecond,24,16,0,0,10,7,5,3,5,3
chapter_002,ru.job4j.profeccions,Doctor,53,0,4,0,16,0,8,0,6,0
chapter_002,ru.job4j.profeccions,Teacher,47,0,2,0,14,0,6,0,5,0
chapter_002,ru.job4j.profeccions,Engineer,44,0,4,0,14,0,7,0,5,0
chapter_002,ru.job4j.profeccions,Person,13,0,0,0,7,0,4,0,4,0
chapter_002,ru.job4j.shapes,Triangle,0,22,0,0,0,6,0,2,0,2
chapter_002,ru.job4j.shapes,Paint,0,8,0,0,0,3,0,2,0,2
chapter_002,ru.job4j.shapes,Square,0,22,0,0,0,6,0,2,0,2
chapter_002,ru.job4j.tracker2.start,TrackerSecond,119,37,22,0,25,8,16,5,5,5
chapter_002,ru.job4j.tracker2.start,BaseAction,3,25,0,0,1,5,1,2,1,2
chapter_002,ru.job4j.tracker2.start,MenuTracker,0,169,1,5,0,23,1,7,0,5
chapter_002,ru.job4j.tracker2.start,StartUISecond.new UserAction() {...},0,27,0,0,0,5,0,4,0,4
chapter_002,ru.job4j.tracker2.start,StartUISecond.new UserAction() {...},9,23,2,0,3,3,2,3,1,3
chapter_002,ru.job4j.tracker2.start,ConsoleInputSecond,46,9,6,0,11,2,5,1,2,1
chapter_002,ru.job4j.tracker2.start,ValidateInput,11,30,0,2,4,13,1,3,1,2
chapter_002,ru.job4j.tracker2.start,MenuOutException,4,0,0,0,2,0,1,0,1,0
chapter_002,ru.job4j.tracker2.start,DeleteItem,9,5,0,0,3,2,1,1,1,1
chapter_002,ru.job4j.tracker2.start,EditItem,18,5,0,0,3,2,1,1,1,1
chapter_002,ru.job4j.tracker2.start,MenuTracker.AddItem,0,23,0,0,0,6,0,2,0,2
chapter_002,ru.job4j.tracker2.start,MenuTracker.FindById,28,8,0,0,3,3,1,1,1,1
chapter_002,ru.job4j.tracker2.start,MenuTracker.ShowItems,29,5,2,0,4,2,2,1,1,1
chapter_002,ru.job4j.tracker2.start,StubInputSecond,0,32,0,0,0,6,0,3,0,3
chapter_002,ru.job4j.tracker2.start,MenuTracker.FindByName,45,5,2,0,8,2,2,1,1,1
chapter_002,ru.job4j.tracker2.start,StartUISecond,63,108,0,4,6,21,2,4,2,2
chapter_002,ru.job4j.chess.figures,Bishop,106,9,12,0,18,3,8,2,2,2
chapter_002,ru.job4j.chess.figures,Figure,35,9,2,0,3,4,2,2,1,2
chapter_002,ru.job4j.homeworks.tasks,Task11163,8,74,2,8,1,16,2,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11164,4,130,1,11,1,24,1,9,0,4
chapter_002,ru.job4j.homeworks.tasks,Task11165,0,81,2,6,0,16,2,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11160,7,107,1,11,1,22,1,8,0,3
chapter_002,ru.job4j.homeworks.tasks,Task11161,0,49,0,6,0,9,0,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11162,6,118,3,15,1,27,3,9,0,3
chapter_002,ru.job4j.homeworks.tasks,Task111,0,40,0,0,0,3,0,2,0,2
chapter_002,ru.job4j.homeworks.tasks,Task112,37,0,2,0,6,0,3,0,2,0
chapter_002,ru.job4j.homeworks.tasks,Task113,203,0,18,0,36,0,15,0,4,0
chapter_002,ru.job4j.homeworks.tasks,Task114,40,0,2,0,8,0,3,0,2,0
chapter_002,ru.job4j.homeworks.tasks,Task115,28,0,2,0,6,0,3,0,2,0
chapter_002,ru.job4j.homeworks.tasks,Task116,0,73,0,2,0,6,0,4,0,3
chapter_002,ru.job4j.homeworks.tasks,Task117,0,104,0,2,0,6,0,4,0,3
chapter_002,ru.job4j.homeworks.tasks,Task118,0,46,0,4,0,10,0,5,0,3
chapter_002,ru.job4j.homeworks.tasks,Task119,0,145,0,6,0,18,0,8,0,5
chapter_002,ru.job4j.homeworks.tasks,Task1136,54,0,8,0,9,0,7,0,3,0
chapter_002,ru.job4j.homeworks.tasks,Task1138,0,61,0,8,0,10,0,6,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1137,57,0,8,0,9,0,7,0,3,0
chapter_002,ru.job4j.homeworks.tasks,Task11107,0,64,0,6,0,15,0,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11108,0,30,0,4,0,5,0,4,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1141,56,0,8,0,8,0,6,0,2,0
chapter_002,ru.job4j.homeworks.tasks,Task1140,94,0,14,0,16,0,9,0,2,0
chapter_002,ru.job4j.homeworks.tasks,Task1143,0,43,0,6,0,9,0,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1142,0,45,0,6,0,9,0,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1144,0,51,0,8,0,12,0,6,0,2
chapter_002,ru.job4j.homeworks.tasks,Task1139,25,0,4,0,6,0,4,0,2,0
chapter_002,ru.job4j.homeworks.tasks,Task11114,0,67,0,6,0,14,0,5,0,2
chapter_002,ru.job4j.homeworks.tasks,Task11115,0,93,0,12,0,22,0,9,0,3
